"","@TIME_PERIOD","@OBS_VALUE","@FREQ","@REF_AREA","@INDICATOR","@UNIT_MULT","@TIME_FORMAT"
"1","1980","11.2358333333333","A","US","FITB_3M_PA","0","P1Y"
"2","1981","14.3508333333333","A","US","FITB_3M_PA","0","P1Y"
"3","1982","10.77","A","US","FITB_3M_PA","0","P1Y"
"4","1983","8.86666666666667","A","US","FITB_3M_PA","0","P1Y"
"5","1984","9.81333333333333","A","US","FITB_3M_PA","0","P1Y"
"6","1985","7.725","A","US","FITB_3M_PA","0","P1Y"
"7","1986","6.1525","A","US","FITB_3M_PA","0","P1Y"
"8","1987","5.95416666666667","A","US","FITB_3M_PA","0","P1Y"
"9","1988","6.87916666666667","A","US","FITB_3M_PA","0","P1Y"
"10","1989","8.39083333333333","A","US","FITB_3M_PA","0","P1Y"
"11","1990","7.74166666666667","A","US","FITB_3M_PA","0","P1Y"
"12","1991","5.53416666666667","A","US","FITB_3M_PA","0","P1Y"
"13","1992","3.50833333333333","A","US","FITB_3M_PA","0","P1Y"
"14","1993","3.06416666666667","A","US","FITB_3M_PA","0","P1Y"
"15","1994","4.34833333333333","A","US","FITB_3M_PA","0","P1Y"
"16","1995","5.65333333333333","A","US","FITB_3M_PA","0","P1Y"
"17","1996","5.13666666666667","A","US","FITB_3M_PA","0","P1Y"
"18","1997","5.1975","A","US","FITB_3M_PA","0","P1Y"
"19","1998","4.90083333333333","A","US","FITB_3M_PA","0","P1Y"
"20","1999","4.76833333333333","A","US","FITB_3M_PA","0","P1Y"
"21","2000","5.99845","A","US","FITB_3M_PA","0","P1Y"
"22","2001","3.47681166666667","A","US","FITB_3M_PA","0","P1Y"
"23","2002","1.63307666666667","A","US","FITB_3M_PA","0","P1Y"
"24","2003","1.02120833333333","A","US","FITB_3M_PA","0","P1Y"
"25","2004","1.38919166666667","A","US","FITB_3M_PA","0","P1Y"
"26","2005","3.21279166666667","A","US","FITB_3M_PA","0","P1Y"
"27","2006","4.84720833333333","A","US","FITB_3M_PA","0","P1Y"
"28","2007","4.45216666666667","A","US","FITB_3M_PA","0","P1Y"
"29","2008","1.36541666666667","A","US","FITB_3M_PA","0","P1Y"
"30","2009","0.142583333333333","A","US","FITB_3M_PA","0","P1Y"
"31","2010","0.13375","A","US","FITB_3M_PA","0","P1Y"
"32","2011","0.051325","A","US","FITB_3M_PA","0","P1Y"
"33","2012","0.0836666666666667","A","US","FITB_3M_PA","0","P1Y"
"34","2013","0.0535416666666667","A","US","FITB_3M_PA","0","P1Y"
"35","2014","0.0308333333333333","A","US","FITB_3M_PA","0","P1Y"
"36","2015","0.0488888888888889","A","US","FITB_3M_PA","0","P1Y"
"37","2016","0.318583333333333","A","US","FITB_3M_PA","0","P1Y"
"38","2017","0.74975","A","US","FITB_3M_PA","0","P1Y"
