"","year","iso2c","country.x","nominal.exchange.rate","GDP.per.capita","total.reserves.outof.total.external.debt","external.Debt/GNI","polity2","US.3m.treasury.yield","currency.crisis","lag.GDP.per.capita","lag.total.reserves"
"723",1994,"AM","Armenia",20.42983997204,956.470885506277,16.8470709106646,16.3034067472521,7,"4.34833333333333",1,886.032785925223,10.1453571748603
"900",1995,"AM","Armenia",28.60133867256,1043.54314093392,29.9960089166889,25.2755457960255,3,"5.65333333333333",0,956.470885506277,16.8470709106646
"1090",1996,"AM","Armenia",61.50256999476,1121.88162869349,32.3126679396378,31.7083070636766,-6,"5.13666666666667",0,1043.54314093392,29.9960089166889
"1252",1997,"AM","Armenia",57.69535752153,1172.1368024271,37.4677116601861,36.7348485357286,-6,"5.1975",0,1121.88162869349,32.3126679396378
"1443",1998,"AM","Armenia",60.56051884529,1267.57528264648,36.4520826675622,41.1560939744399,5,"4.90083333333333",0,1172.1368024271,37.4677116601861
"1572",1999,"AM","Armenia",65.84343139134,1317.74192343814,29.6805232296057,53.8088899271065,5,"4.76833333333333",0,1267.57528264648,36.4520826675622
"1808",2000,"AM","Armenia",71.02612323783,1404.32146204631,30.8518104986675,51.8420468546226,5,"5.99845",0,1317.74192343814,29.6805232296057
"1947",2001,"AM","Armenia",72.48921717309,1548.0758512453,23.3711709739502,64.611733846805,5,"3.47681166666667",0,1404.32146204631,30.8518104986675
"2188",2002,"AM","Armenia",76.41719696093,1761.88827204793,25.0632191637866,69.771625658485,5,"1.63307666666667",0,1548.0758512453,23.3711709739502
"2342",2003,"AM","Armenia",70.4925480124,2019.98486736482,25.1475027207441,68.7952240608304,5,"1.02120833333333",0,1761.88827204793,25.0632191637866
"2559",2004,"AM","Armenia",72.39280065155,2244.22017070239,25.9858209732614,57.2175683888445,5,"1.38919166666667",0,2019.98486736482,25.1475027207441
"2724",2005,"AM","Armenia",84.00956299734,2571.98575552046,33.9867997524663,38.5750305478491,5,"3.21279166666667",0,2244.22017070239,25.9858209732614
"2794",2006,"AM","Armenia",92.27995240735,2933.83347842552,50.1157673672949,31.9881907373026,5,"4.84720833333333",0,2571.98575552046,33.9867997524663
"2996",2007,"AM","Armenia",105.36006756591,3366.16218732912,53.8327551857221,31.7603366340926,5,"4.45216666666667",0,2933.83347842552,50.1157673672949
"3107",2008,"AM","Armenia",112.01088216415,3629.15770214106,38.9426897722432,29.243068173332,5,"1.36541666666667",0,3366.16218732912,53.8327551857221
"3378",2009,"AM","Armenia",102.62637378408,3136.81172720558,40.600606099217,54.7919798221358,5,"0.142583333333333",0,3629.15770214106,38.9426897722432
"3578",2010,"AM","Armenia",100,3218.38165488465,29.5825861035349,64.8981591204827,5,"0.13375",0,3136.81172720558,40.600606099217
"3800",2011,"AM","Armenia",97.15818240807,3371.6728305502,26.0764568784631,70.5642779851985,5,"0.051325",0,3218.38165488465,29.5825861035349
"3979",2012,"AM","Armenia",94.86786422767,3606.48055353557,23.5502739878338,69.1931527134131,5,"0.0836666666666667",0,3371.6728305502,26.0764568784631
"4146",2013,"AM","Armenia",93.99530439654,3710.57574254995,25.9369504792873,73.5432807054902,5,"0.0535416666666667",0,3606.48055353557,23.5502739878338
